preflabel,definition,notation,altlabel,related
Mangalore,,3053,,
Eucambene,,2601,,
Thorkidaan,,3585,,
Panbulla,,3366,,
Jilpanger,,2798,,
Bramby,,2219,,
Barp,,2080,,
Jinderboine,,2800,,
Benayeo,,2115,,
Avenel,,2031,,
Jallakin,,2777,,
Nangana,,3255,,
Jil Jil,,2797,,
Marraweeny,,3069,,
Riachella,,3449,,
Callawadda,,2321,,
Tooan,,3610,,
Navarre,,3288,,
Ravenswood,,3442,,
Natteyallock,,3287,,
Warrowitue,,3766,,
Puckapunyal,,3420,,
Yehrip,,3983,,
Barkly,,2074,,
Edenhope,,2575,,
Gobur,,2693,,
Worrough,,3903,,
Tallarook,,3532,,
Panyule,,3370,,
Brankeet,,2221,,
Pental Island,,3386,,
Warrenmang,,3761,,
Coolungubra,,2432,,
Seymour,,3481,,
Bolerch,,2172,,
Berrmarr,,2129,,
Maryborough,,3071,,
Chilpin,,2380,,
Yallakar,,3933,,
Wombelano,,3858,,
Bellaura,,2107,,
Wytwarrone,,3923,,
Illawarra,,2771,,
Watta Wella,,3777,,
Boroka,,2208,,
Koonika,,2909,,
Wallagoot,,3705,,
Murrandarra,,3233,,
Moranding,,3182,,
Dean,,2503,,
Bungaree,,2279,,
Moorarbool West,,3167,,
Gunbower West,,2733,,
Mincha,,3107,,
Patho,,3378,,
Murrabit West,,3231,,
Kerang,,2862,,
Tottington,,3637,,
Gerang Gerung,,2648,,
Dimboola,,2524,,
Jirnkee,,2804,,
Carapooee West,,2339,,
Nunniong,,3340,,
Noyong,,3330,,
Oxley,,3359,,
Mooroolbark,,3176,,
Laceby,,2953,,
Longford,,3010,,
Carneek,,2350,,
Drummond,,2552,,
Kalk Kalk,,2821,,
Willam,,3822,,
Muryrtym,,3242,,
Thornley,,3586,,
Baynton,,2094,,
Mageppa,,3032,,
Gelantipy West,,2643,,
Howitt Plains,,2767,,
Concongella,,2418,,
Coliban,,2409,,
Cavendish,,2368,,
Bahgallah,,2040,,
Redruth,,3447,,
Lorne,,3015,,
Tarwin,,3563,,
Coolungoolun,,2431,,
Boikerbert,,2168,,
Sutton Grange,,3514,,
Karawah,,2838,,
Hawkestone,,2747,,
Connangorach,,2424,,
Konnepra,,2902,,
Rathscar,,3441,,
Lexington,,2988,,
Billabong,,2143,,
Koo-Wee-Rup,,2920,,
Yallock,,3935,,
Kongbool,,2900,,
Moorwinstowe,,3181,,
Wongungarra,,3864,,
Lancefield,,2962,,
Cobaw,,2392,,
Purnim,,3426,,
Clonbinane,,2389,,
Dellicknora,,2507,,
Koola,,2905,,
Newham,,3304,,
Reynard,,3448,,
Mokepilly,,3140,,
Pyalong,,3430,,
Craigie,,2461,,
Kooroc,,2915,,
Guildford,,2730,,
Bealiba,,2095,,
Mansfield,,3056,,
Ludrik-Munjie,,3021,,
Beloka,,2109,,
Tallageira,,3526,,
Lowan,,3017,,
Carruno,,2361,,
Wormangal,,3900,,
Axedale,,2034,,
Morea,,3187,,
Marong,,3068,,
Crosbie,,2467,,
Weston,,3801,,
Dopewora,,2538,,
Casterton,,2364,,
Sandford,,3472,,
Merino,,3092,,
Wrixon,,3907,,
Borhoneyghurk,,2206,,
Monomak,,3152,,
Ballark,,2047,,
Narrang,,3275,,
Yeerung,,3982,,
Langley,,2970,,
Goldie,,2694,,
Moonkan,,3160,,
Ganoo Ganoo,,2634,,
Nappa,,3262,,
Lambruk,,2961,,
Bochara,,2161,,
Hamilton North,,2741,,
Kanawinka,,2827,,
Karup Karup,,2846,,
Glenburnie,,2667,,
Beckworth,,2097,,
Gorrinn,,2710,,
Neerim East,,3293,,
Wookurkook,,3877,,
Addington,,2002,,
Arbuckle,,2021,,
Pomborneit,,3406,,
Tabberabbera,,3519,,
Koolomert,,2906,,
Pawbymbyr,,3379,,
Bullamalk,,2259,,
Dunneworthy,,2566,,
Bulgana,,2257,,
Muckleford,,3209,,
Castlemaine,,2366,,
Faraday,,2611,,
Mullawye,,3214,,
Yarck,,3958,,
Tarrengower,,3562,,
Glenmona,,2680,,
Bung Bong,,2280,,
Metcalfe,,3099,,
Woongulmerang East,,3882,,
Meereek,,3079,,
Glenmore,,2681,,
Campbelltown,,2326,,
Errinundra,,2598,,
Nalangil,,3252,,
Monegeetta,,3150,,
Ascot,,2028,,
Creswick,,2464,,
Warranook,,3754,,
Ballyrogan,,2051,,
Warra Warra,,3756,,
Koomberar,,2907,,
Tamboritha,,3536,,
Cooaggalah,,2428,,
Geerak,,2641,,
Ledcourt,,2984,,
Glenorchy,,2682,,
Gampola,,2632,,
Licola North,,2992,,
Jamieson,,2780,,
Gatum Gatum,,2637,,
Ercildoun,,2597,,
Glendaruel,,2671,,
Kalymna,,2824,,
Pine Lodge,,3396,,
Torbreck,,3636,,
Caniambo,,2328,,
Tooloy,,3621,,
Weeragua,,3785,,
Loomat,,3013,,
Bralak,,2217,,
Kooroon,,2918,,
Karlo,,2841,,
Onyim,,3354,,
Langi-Ghiran,,2964,,
Kianeek,,2873,,
Woohlpooer,,3876,,
Larneebunyah,,2975,,
Jalur,,2779,,
Rochford,,3455,,
Willowmavin,,3828,,
Boreang East,,2204,,
Toolongrook,,3620,,
Wareek,,3739,,
Toolondo,,3619,,
Baringhup,,2073,,
Dollin,,2531,,
Wartook,,3767,,
Maldon,,3042,,
Boorpuk,,2199,,
Landsborough,,2963,,
Merton,,3098,,
Walmer,,3713,,
Harcourt,,2743,,
Bellellen,,2108,,
Burrong South,,2302,,
Langkoop,,2967,,
Kurraca,,2945,,
Magdala,,3030,,
Tyar,,3670,,
Bondi,,2177,,
Shirley,,3488,,
Nerran,,3299,,
Binnican,,2153,,
Watgania,,3774,,
Gringegalgona,,2727,,
Mooralla,,3165,,
Bullawin,,2263,,
Buragwonduc,,2291,,
Byjuke,,2317,,
Alberton West,,2008,,
Alberton East,,2007,,
Kooragan,,2911,,
Nurong,,3344,,
Nagwarry,,3251,,
Nar-Be-Thong,,3263,,
Mininera,,3112,,
Moondarra,,3158,,
Yarpturk,,3960,,
Wallan Wallan,,3707,,
Watgania West,,3775,,
Woodnaggerak,,3873,,
Wategat,,3773,,
Mirranatwa,,3124,,
Colvinsby,,2415,,
Bramburra,,2218,,
Yeerik,,3981,,
Telbit,,3573,,
Wilgul South,,3817,,
Murgheboluc,,3225,,
Taaraak,,3517,,
Brindat,,2232,,
Heywood,,2756,,
Bemm,,2112,,
Yarak,,3956,,
Yuppeckiar,,4004,,
Parupa,,3374,,
Morekana,,3189,,
Gorae,,2707,,
Anakie,,2014,,
Colquhoun,,2412,,
Struan,,3509,,
Minhamite,,3110,,
Warrion,,3763,,
Lang Lang,,2968,,
Nanapundah,,3253,,
Boramboram,,2203,,
Galla,,2629,,
Forbes,,2615,,
Wentworth,,3794,,
Beear,,2098,,
Springfield,,3494,,
Nekeeya,,3295,,
Bylands,,2318,,
Konong Wootong,,2903,,
Youarrabuk,,3997,,
Coleraine,,2408,,
Binnuc,,2154,,
Toombon,,3622,,
Butgulla,,2310,,
Wurutwun,,3914,,
Scarsdale,,3477,,
Eilyar,,2581,,
Yalimba,,3931,,
Tingaringy,,3598,,
Billiminah,,2145,,
Boreang West,,2205,,
Ensay,,2594,,
Crookayan,,2466,,
Bruk Bruk,,2241,,
Dowling Forest,,2542,,
Gisborne,,2662,,
Coornmill,,2444,,
Carrak,,2357,,
Gillingall,,2654,,
Toorourrong,,3634,,
Parrie Yalloak,,3373,,
Gabo,,2626,,
Purrumbete North,,3428,,
Wanwandyra,,3732,,
Bil-Bil-Wyt,,2142,,
Edi,,2577,,
Winteriga,,3842,,
Tallangallook,,3529,,
Doolam,,2536,,
Bonang,,2176,,
Bidwell,,2139,,
Wibenduck,,3813,,
Baw Baw,,2093,,
Wy-Yung,,3925,,
Bilpah,,2146,,
Redesdale,,3446,,
Spring Plains,,3496,,
Terrinallum,,3580,,
Doodwuk,,2533,,
Branxholme,,2222,,
Cobra Killuc,,2396,,
Mostyn,,3197,,
Minjah,,3113,,
Wangarabell,,3724,,
Irrewarra,,2775,,
Ecklin,,2573,,
Purrumbete South,,3429,,
Derndang,,2514,,
Moormurng,,3172,,
Yatchaw West,,3974,,
Yatchaw East,,3973,,
Pom Pom,,3408,,
Audley,,2030,,
Poliah South,,3404,,
Cressy,,2463,,
Warrain,,3749,,
Maneroo,,3052,,
Wonwron,,3869,,
Yalimba East,,3932,,
Warrambine,,3752,,
Mumbannar,,3218,,
Betka,,2136,,
Matong,,3074,,
Mortlake,,3196,,
Wabonga South,,3694,,
Weering,,3787,,
Corangamite,,2450,,
Hesse,,2753,,
Koort-Koort-Nong,,2919,,
